Introduction,A.1,v1,interrogative,"Has the company developed and published a Board Charter which is periodically reviewed and which sets out the Board responsibility for internal control?"
Introduction,A.2,v1,interrogative,"Do the Board Charter or company documents distinguish the responsibilities of the board from management in line with Code requirements?"
Introduction,A.3,v1,interrogative,"Is there a statement indicating the responsibility of Board members for the application of corporate governance policies and procedures of the company?"
Introduction,A.3,v2,interrogative,"Is there a statement that provides that the board is ultimately responsible for approving CG polcies and procedures, and is there a statement that provides that the board is ultimately responsible for approving the company's CG code or manual?"
Introduction,A.4,v1,wh,"How has the Board ensured all directors, CEOs and management are fully aware of the requirements of this Code?"
Introduction,A.5,v1,interrogative,"Do company documents indicate the role of the Board in developing and monitoring the company strategy?"
Introduction,A.5,v2,interrogative,"Does the board approve the company's strategy?"
Introduction,A.6,v1,interrogative,"Does the company strategy promote sustainability of the company?"
Introduction,A.6,v2,interrogative,"Does the company's strategy integrate ESG and climate risks and opportunities?"
Introduction,A.7,v1,interrogative,"Are all board committees governed by a written charter/terms of reference, disclosing its mandate, authority, duties, composition, leadership and working processes?"
Introduction,A.7,v2,interrogative,"Does the board and its board committees have separate charters/by-laws/ToRs that governed by a written charter/terms of reference, and do the aformentioned discuss the respective roles and responsibilities?"
