Introduction,A.1,v1,interrogative,"Has the company developed and published a Board Charter which is periodically reviewed and which sets out the Board responsibility for internal control?"
Introduction,A.2,v1,interrogative,"Do the Board Charter or company documents distinguish the responsibilities of the board from management in line with Code requirements?"
Introduction,A.3,v1,interrogative,"Is there a statement indicating the responsibility of Board members for the application of corporate governance policies and procedures of the company?"
Introduction,A.3,v2,interrogative,"Is there a statement that provides that the board is ultimately responsible for approving CG polcies and procedures, and is there a statement that provides that the board is ultimately responsible for approving the company's CG code or manual?"
Introduction,A.4,v1,wh,"How has the Board ensured all directors, CEOs and management are fully aware of the requirements of this Code?"
Introduction,A.5,v1,interrogative,"Do company documents indicate the role of the Board in developing and monitoring the company strategy?"
Introduction,A.5,v2,interrogative,"Does the board approve the company's strategy?"
Introduction,A.6,v1,interrogative,"Does the company strategy promote sustainability of the company?"
Introduction,A.6,v2,interrogative,"Does the company's strategy integrate ESG and climate risks and opportunities?"
Introduction,A.7,v1,interrogative,"Are all board committees governed by a written charter/terms of reference, disclosing its mandate, authority, duties, composition, leadership and working processes?"
Introduction,A.7,v2,interrogative,"Does the board and its board committees have separate charters/by-laws/ToRs that governed by a written charter/terms of reference, and do the aformentioned discuss the respective roles and responsibilities?"
Board Operations and Control,B.1,v1,interrogative,"Has the Board established a Nomination Committee comprised mainly of independent and non-executive Board members?"
Board Operations and Control,B.2,v1,interrogative,"Is the chairperson of the Nomination Committee an independent director?"
Board Operations and Control,B.3,v1,interrogative,"Has the board adopted and published procedures for nomination and appointment of new Board members?"
Board Operations and Control,B.3,v2,interrogative,"Does the nomination committee charter/by-laws/ToR contain provisions on the process for nomination and appointment of board members?"
Board Operations and Control,B.4,v1,interrogative,"Is the Board size adequate for the exercise of the company business?"
Board Operations and Control,B.5,v1,interrogative,"Has the board adopted a policy to ensure the achievement of diversity  including age, race and gender in its composition?"
Board Operations and Control,B.6,v1,interrogative,"Do the Board members represent a mix of skills, experience, business knowledge and independence to enable the discharge of their duties?"
Board Operations and Control,B.6,v2,interrogative,"Is there an adequate mix of skills and independence on the board established by a board skills matrix?"
Board Operations and Control,B.7,v1,interrogative,"Has the board adopted and applied a policy limiting the number of board positions each Board member may hold at any one time?"
Board Operations and Control,B.8,v1,interrogative,"Have any Alternate Board members been appointed?  If so, have the Alternate Director/s been appointed according to regulation and Code requirements?"
Board Operations and Control,B.9,v1,interrogative,"Are independent directors at least one-third of the total number of Board members?"
Board Operations and Control,B.10,v1,interrogative,"Does the Board have policies and procedures to annually assess the independence of independent Board members?"
Board Operations and Control,B.11,v1,interrogative,"Do all independent Board members have a tenure of less than 9 years?"
Board Operations and Control,B.12,v1,interrogative,"Is the Board comprised of a majority of non-executive board members?"
Board Operations and Control,B.13,v1,wh,"How does the Board ensure a smooth transition of Board members?"
Board Operations and Control,B.13,v2,interrogative,"Is there a Board member Succession Policy?"
Board Operations and Control,B.14,v1,interrogative,"Has the Board established an effective Audit Committee according to Code requirements?"
Board Operations and Control,B.15,v1,interrogative,"Are the functions of the Chairperson and the Chief Executive Officer exercised by different individuals?"
Board Operations and Control,B.16,v1,interrogative,"Is the Chairman of the Board a non-executive board member?"
Board Operations and Control,B.17,v1,interrogative,"Has the Board established procedures to allow its members access to relevant, accurate and complete information and professional advice?"
Board Operations and Control,B.17,v2,interrogative,"Does the board charter/by-laws/ToR provide board members access to all company information, and does the board charter/by-laws/ToR provide board members adequate resources to engage outside expertise?"
Board Operations and Control,B.18,v1,interrogative,"Has the Board adopted a policy on managing conflict of interest?"
